id,key,value,type
172560123,highway,turning_circle,regular
172560123,source,yahoo,regular
172563131,highway,turning_circle,regular
172563315,highway,turning_circle,regular
172567452,highway,turning_circle,regular
172567808,highway,turning_circle,regular
172572561,highway,turning_circle,regular
172572679,highway,turning_circle,regular
172572679,source,yahoo,regular
172573540,highway,turning_circle,regular
172574351,highway,traffic_signals,regular
172574862,highway,turning_circle,regular
172576604,highway,turning_circle,regular
172578251,highway,traffic_signals,regular
172578423,highway,traffic_signals,regular
172580977,highway,turning_circle,regular
172581772,highway,turning_circle,regular
172582830,highway,turning_circle,regular
172583887,highway,turning_circle,regular
172585335,highway,turning_circle,regular
172585335,source,yahoo,regular
172585425,highway,traffic_signals,regular
172585480,highway,traffic_signals,regular
172587087,highway,turning_circle,regular
172587087,source,yahoo,regular
172587099,highway,turning_circle,regular
172587099,source,yahoo,regular
172587191,highway,turning_circle,regular
172587228,highway,turning_circle,regular
172587943,highway,traffic_signals,regular
172587952,highway,turning_circle,regular
172592717,highway,turning_circle,regular
172594572,highway,turning_circle,regular
172594572,source,yahoo,regular
172599050,highway,turning_circle,regular
172599352,highway,traffic_signals,regular
172599953,highway,turning_circle,regular
172600840,railway,level_crossing,regular
172601718,highway,traffic_signals,regular
172601740,highway,traffic_signals,regular
172602123,highway,turning_circle,regular
172604827,railway,level_crossing,regular
172604829,railway,level_crossing,regular
172604912,highway,turning_circle,regular
172604956,highway,turning_circle,regular
172605603,highway,turning_circle,regular
172606536,highway,motorway_junction,regular
172606536,ref,1D,regular
172607894,highway,turning_circle,regular
172608414,highway,turning_circle,regular
172608628,highway,turning_circle,regular
172611428,highway,traffic_signals,regular
172613507,highway,turning_circle,regular
172614112,highway,turning_circle,regular
172614576,highway,turning_circle,regular
172614868,highway,turning_circle,regular
172616182,highway,turning_circle,regular
172616628,highway,turning_circle,regular
172617100,highway,turning_circle,regular
172617100,source,yahoo,regular
172617152,highway,turning_circle,regular
172620060,highway,turning_circle,regular
172620242,highway,turning_circle,regular
172622274,highway,turning_circle,regular
172624405,highway,turning_circle,regular
172624499,highway,turning_circle,regular
172624707,highway,turning_circle,regular
172624823,highway,turning_circle,regular
172625090,highway,turning_circle,regular
172627489,highway,turning_circle,regular
172627518,highway,turning_circle,regular
172627679,highway,turning_circle,regular
172629148,highway,traffic_signals,regular
172629179,highway,traffic_signals,regular
172630864,highway,turning_circle,regular
172631181,highway,turning_circle,regular
172632404,highway,turning_circle,regular
172632572,highway,turning_circle,regular
172633072,highway,traffic_signals,regular
172634738,highway,turning_circle,regular
172634812,highway,turning_circle,regular
172636595,highway,turning_circle,regular
172638191,highway,turning_circle,regular
172638242,highway,turning_circle,regular
172638242,source,yahoo,regular
172642079,highway,turning_circle,regular
172642455,highway,turning_circle,regular
172642545,highway,turning_circle,regular
172643132,highway,turning_circle,regular
172645146,highway,turning_circle,regular
172645146,source,yahoo,regular
172647308,highway,turning_circle,regular
172649700,highway,turning_circle,regular
172651649,highway,traffic_signals,regular
172651651,highway,traffic_signals,regular
172652314,highway,turning_circle,regular
172652314,source,yahoo,regular
172652323,highway,turning_circle,regular
172652323,source,yahoo,regular
172652953,highway,turning_circle,regular
172653210,highway,turning_circle,regular
172653213,highway,turning_circle,regular
172653687,highway,turning_circle,regular
172655257,highway,turning_circle,regular
172655551,highway,turning_circle,regular
172655551,source,yahoo,regular
172655821,highway,turning_circle,regular
172660086,highway,turning_circle,regular
172660801,highway,traffic_signals,regular
172660860,highway,traffic_signals,regular
172660911,highway,traffic_signals,regular
172662228,highway,traffic_signals,regular
172662277,highway,traffic_signals,regular
172662342,highway,traffic_signals,regular
172663502,highway,turning_circle,regular
172663650,highway,turning_circle,regular
172664197,railway,level_crossing,regular
172664203,railway,level_crossing,regular
172665791,highway,turning_circle,regular
172665791,source,yahoo,regular
172667284,highway,turning_circle,regular
172667402,highway,turning_circle,regular
172669113,highway,turning_circle,regular
172673939,highway,traffic_signals,regular
172674897,highway,turning_circle,regular
172675666,highway,traffic_signals,regular
172676605,highway,turning_circle,regular
172676778,highway,turning_circle,regular
172678401,highway,turning_circle,regular
172681727,highway,turning_circle,regular
172684856,highway,turning_circle,regular
172685256,railway,level_crossing,regular
172685620,highway,traffic_signals,regular
172687634,highway,turning_circle,regular
172689071,highway,traffic_signals,regular
172689747,highway,turning_circle,regular
172689747,source,yahoo,regular
172689985,highway,turning_circle,regular
172691005,highway,turning_circle,regular
172691005,source,yahoo,regular
172691150,highway,turning_circle,regular
172691700,highway,turning_circle,regular
172691905,highway,turning_circle,regular
172692024,highway,traffic_signals,regular
172696077,highway,turning_circle,regular
172696166,highway,turning_circle,regular
172696212,highway,turning_circle,regular
172696612,highway,turning_circle,regular
172697002,highway,turning_circle,regular
172699775,highway,turning_circle,regular
172700507,highway,turning_circle,regular
172705956,highway,turning_circle,regular
172706074,highway,turning_circle,regular
172707901,highway,turning_circle,regular
172708353,highway,turning_circle,regular
172708684,highway,turning_circle,regular
172709248,highway,traffic_signals,regular
172709339,highway,turning_circle,regular
172709750,highway,turning_circle,regular
172709788,highway,turning_circle,regular
172710360,highway,turning_circle,regular
172711969,highway,turning_circle,regular
172714173,highway,turning_circle,regular
172714197,highway,turning_circle,regular
172714305,highway,turning_circle,regular
172715203,railway,level_crossing,regular
172717243,crossing,traffic_signals,regular
172717243,highway,crossing,regular
172717244,highway,traffic_signals,regular
172717718,highway,turning_circle,regular
172718410,highway,turning_circle,regular
172720616,highway,turning_circle,regular
172721216,highway,turning_circle,regular
172724659,exit_to,To NC 160; Remount Road,regular
172724659,highway,motorway_junction,regular
172724659,ref,8,regular
172729245,highway,turning_circle,regular
172729979,highway,turning_circle,regular
172731903,highway,turning_circle,regular
172733154,highway,turning_circle,regular
172733822,railway,level_crossing,regular
172733997,railway,level_crossing,regular
172734024,railway,level_crossing,regular
172734060,railway,level_crossing,regular
172734100,railway,level_crossing,regular
172734130,railway,level_crossing,regular
172734195,railway,level_crossing,regular
172734205,railway,level_crossing,regular
172734220,railway,level_crossing,regular
172734237,railway,level_crossing,regular
172734282,railway,level_crossing,regular
172734288,railway,level_crossing,regular
172735822,highway,turning_circle,regular
172737274,highway,traffic_signals,regular
172738716,highway,turning_circle,regular
172740697,highway,turning_circle,regular
172740729,highway,turning_circle,regular
